,task_id,participant_id,citation_design,context_stakeness,source_reliability,task_duration,task_num_clicks,task_num_sr_clicks,task_num_aio_clicks,task_num_cd_clicks,task_show_more_clicks,task_num_external_clicks,task_time_aio,task_time_sr,task_time_cd,task_time_sr_aio,task_time_fraction_sr,task_time_fraction_aio,task_time_fraction_cd,task_num_mouse_movements,task_num_scrolls,task_num_down_scrolls,task_num_up_scrolls,task_median_scroll_duration,task_median_up_scroll_duration,task_median_down_scroll_duration,task_median_scroll_distance,task_median_up_scroll_distance,task_median_down_scroll_distance
55,1,5ade558c066c510001d43615,domain,low,high_reliability,6264,0,0,0,0,0,0,0.0,0.1319000000059604,0.0,0.1319000000059604,1.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
56,1,5aea16d3ff24e0000124b803,domain,low,high_reliability,38095,1,0,1,0,1,0,3.7791000000834463,4.9055,0.0,8.684600000083448,0.5648504248846078,0.4351495751153921,0.0,0,11,5,6,0.2457000000476839,0.2371500000059594,0.2469999999999999,-80.0,-346.5,299.0
57,1,5af1a4bc6e136b0001411714,domain,high,high_reliability,46726,0,0,0,0,0,0,26.74239999999106,0.0,0.0240999999940395,26.74239999999106,0.0,1.0,0.0009011906184204,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
58,1,5af4579eb625f70001e0cfad,icon,high,low_reliability,40935,1,1,0,0,0,1,0.0,18.337600000143052,0.0,18.337600000143052,1.0,0.0,0.0,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
59,1,5af6e439672ea800010d4e92,icon,low,high_reliability,18180,0,0,0,0,0,0,12.481899999999907,0.0,0.0,12.481899999999907,0.0,1.0,0.0,0,3,2,1,0.2578000000000475,0.2578000000000475,0.3183000000000469,7.0,-151.0,74.5
60,1,5afe7c9196a88e0001ff4b9d,number,low,low_reliability,96734,1,1,0,0,0,1,1.7142000002861022,16.18319999980926,0.0,17.897400000095367,0.90422072478254,0.0957792752174599,0.0,1,9,5,4,0.3560999999046323,0.3592999999523147,0.3395999999046211,144.0,-248.5,299.0
61,1,5b10527374db8f00013fdc57,number,low,original,10848,0,0,0,0,0,0,5.697099999999977,0.0,0.0,5.697099999999977,0.0,1.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
62,1,5b1d5fabbdf4e10001638a19,icon,low,low_reliability,13985,0,0,0,0,0,0,0.093,0.0,0.0,0.093,0.0,1.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
63,1,5b2bcfb51835660001cc6751,number,low,low_reliability,47164,1,1,0,0,0,1,6.500200000002981,6.89679999999702,0.0,13.396999999999998,0.5148018213030545,0.4851981786969457,0.0,1,2,1,1,0.3330999999977626,0.3410999999940358,0.3251000000014894,-0.5,-99.0,98.0
64,1,5b3b48c5b6b4410001614786,domain,low,original,13513,0,0,0,0,0,0,0.0182999999523162,6.983700000047683,0.0,7.002,0.9973864610179496,0.0026135389820503,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
